"城市范围","检索日期","视频标题","BV号","视频链接","发布日期","播放量","评论数","创作者","创作者UID","粉丝数","粉丝核验日","门槛结论","发现来源"
"无锡市","2026-07-21","打卡无锡美食博主的新店~","BV1DHKy6tEwx","https://www.bilibili.com/video/BV1DHKy6tEwx/","2026-07-20","218","0","宋叉叉sean","31384613","4","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","又遇麻辣烫刺客！小笼包、开洋馄饨，逛吃无锡网红市场 @街头小小小霸王","BV1ugKm6YEK8","https://www.bilibili.com/video/BV1ugKm6YEK8/","2026-07-20","6555","51","爱学习的好王野","11263788","96805","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","擂茶在无锡和馄饨咖啡混搭？","BV1XYKr6pEDT","https://www.bilibili.com/video/BV1XYKr6pEDT/","2026-07-20","2871","15","二少爷的拍拍拍","1604051466","3366","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","时隔5年又来无锡这家老面馆，此情此景早已物是人非，吃的还是那个老味道！","BV1xpKK6VEJa","https://www.bilibili.com/video/BV1xpKK6VEJa/","2026-07-19","3522","10","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","山东夫妻俩在无锡开饭店，食材都从老家运口味地道，200元吃这么多您看如何？","BV1wjKn6yEdw","https://www.bilibili.com/video/BV1wjKn6yEdw/","2026-07-17","6200","21","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","隋坡力荐的无锡争议饭店，土著来讲一讲真心话｜无锡美食｜无锡探店｜胖妹饭店","BV1kvKg6DEqm","https://www.bilibili.com/video/BV1kvKg6DEqm/","2026-07-16","8162","22","Local老王","3546984065534514","341","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","二刷无锡这家老面馆，几年没来环境好了菜品琳琅满目，47元几个浇头一碗面吃得饱！","BV1q9KG6jEcG","https://www.bilibili.com/video/BV1q9KG6jEcG/","2026-07-16","4763","7","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡巨无霸二郎拉面到底谁能吃完大嘴也不行","BV1vjKG6rEGW","https://www.bilibili.com/video/BV1vjKG6rEGW/","2026-07-16","4194","14","贪吃小阿姨","1057793578","15568","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡146元一人的美式烤肉自助，牛肋排、牛前胸、猪肋排不限量","BV1WrK56AEKj","https://www.bilibili.com/video/BV1WrK56AEKj/","2026-07-16","122260","338","爱吃自助的橙子","511018038","172436","2026-07-21","通过：≥10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡我反复吃了十来次的宝藏食堂暑假来尝尝","BV1ZxNq6mEr1","https://www.bilibili.com/video/BV1ZxNq6mEr1/","2026-07-15","4821","196","贪吃小阿姨","1057793578","15568","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡老城区苍蝇馆子，100元不到吃五个菜","BV1sgN26DEEs","https://www.bilibili.com/video/BV1sgN26DEEs/","2026-07-13","119","0","wuxitv","295219084","28","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡69元齐齐哈尔烤肉自助! 十几种原切牛肉不限量!","BV1F8Nu6GEo3","https://www.bilibili.com/video/BV1F8Nu6GEo3/","2026-07-12","14383","39","大韩同学呀","1739612939","140975","2026-07-21","通过：≥10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡｜闽南味的优雅小馆","BV1NUNW6xEbo","https://www.bilibili.com/video/BV1NUNW6xEbo/","2026-07-11","1229","8","玉兰饼吃什么vlog","3546818132576366","1369","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡新店！尝一口精致烤肉","BV1SgNn69EaP","https://www.bilibili.com/video/BV1SgNn69EaP/","2026-07-10","405","0","啊呜一口桃子rua","16301119","2","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡菜真的都是甜的吗？","BV1Z9NJ6vEPS","https://www.bilibili.com/video/BV1Z9NJ6vEPS/","2026-07-10","989164","1869","_张天琪","108331200","2155943","2026-07-21","通过：≥10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡土著带路的爽吃攻略，2天打卡20家店！ 这份本地人带路的美食合集请收好~ 无锡可不止有甜的，各种烟火气的美食很丰富，我真的不想离开无锡了~","BV1qyM36nEy3","https://www.bilibili.com/video/BV1qyM36nEy3/","2026-07-09","2508","13","哦一西cc","26453110","166","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡这家8年的小面馆，门头和店里的感觉截然不同，白汤面配面筋百叶包吃美了！","BV1fmMi6sE2X","https://www.bilibili.com/video/BV1fmMi6sE2X/","2026-07-08","6563","32","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","隋坡好评的无锡网红蒸菜馆！土著实测狂踩雷｜无锡美食｜无锡探店｜惠山古镇｜万象城｜堰桥工业园｜耀兴饭店","BV1VcMt6RE7J","https://www.bilibili.com/video/BV1VcMt6RE7J/","2026-07-07","3426","28","Local老王","3546984065534514","341","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡还有什么美食推荐的？","BV115TQ6gEMB","https://www.bilibili.com/video/BV115TQ6gEMB/","2026-07-06","184","0","爱艺术的轻松老头","3546645635533167","655","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡119元一人的熟成烤肉自助，武代，4款熟成肉、原切牛肉不限量","BV1PtMF6YECD","https://www.bilibili.com/video/BV1PtMF6YECD/","2026-07-04","23450","119","爱吃自助的橙子","511018038","172436","2026-07-21","通过：≥10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","外地人真的做不出无锡口味的菜吗？今天来西漳这家小店吃个宵夜，咱边吃边聊！","BV1tmMc6BEYp","https://www.bilibili.com/video/BV1tmMc6BEYp/","2026-07-04","5055","17","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","拜见无锡菌子鸡汤大王又到了吃云南菌子季节","BV17KTt6tE2d","https://www.bilibili.com/video/BV17KTt6tE2d/","2026-07-03","2689","9","贪吃小阿姨","1057793578","15568","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡玉祁礼社非遗面馆，喜面套餐28一份好吃不贵，白汤的鲜美堪比我老家那碗面！","BV1qUTj6FEmP","https://www.bilibili.com/video/BV1qUTj6FEmP/","2026-07-02","9376","20","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡万象城向北～吃吃","BV1e2Tc6LEbR","https://www.bilibili.com/video/BV1e2Tc6LEbR/","2026-07-01","32","0","好没趣味-","2105839459","1","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","想吃地道的无锡口味家常菜？太湖广场这家店值得一去，菜饭配红烧肉就是香！","BV1cd736jE51","https://www.bilibili.com/video/BV1cd736jE51/","2026-06-26","4431","32","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡三凤桥酱排骨，江苏省非遗美食，中华老字号","BV1G77x6BE3Y","https://www.bilibili.com/video/BV1G77x6BE3Y/","2026-06-25","12092","23","二少爷的拍拍拍","1604051466","3366","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡美食系列","BV184jy6nEmU","https://www.bilibili.com/video/BV184jy6nEmU/","2026-06-23","48","0","92255224364_bili","388672792","0","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","在惠山古镇吃无锡菜是每个日本人的梦想","BV1axj26fED7","https://www.bilibili.com/video/BV1axj26fED7/","2026-06-23","21031","223","大翔五","3546750400859084","135721","2026-07-21","通过：≥10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","都知道无锡小笼包好吃，南京这个老板居然不服气？带着包子咱们去踢个馆！","BV1KHjm6HEJG","https://www.bilibili.com/video/BV1KHjm6HEJG/","2026-06-23","17009","106","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","带妹妹在无锡爽吃三天，每一款都吃到心巴上～","BV1GEjh6JEqu","https://www.bilibili.com/video/BV1GEjh6JEqu/","2026-06-21","7709","6","皮蛋蛋ya","3546711188310050","3818","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","谢谢大家推荐的无锡美食 ！！.","BV1d9jH6YEJu","https://www.bilibili.com/video/BV1d9jH6YEJu/","2026-06-20","5497","19","LOU的生活日记","743110","32045","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","吐血整理：60 秒看完无锡万象城西区美食","BV1pWji6nE7C","https://www.bilibili.com/video/BV1pWji6nE7C/","2026-06-19","7253","14","李一千的哈姆雷特","125187840","1029","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡，新晋平价烤肉！","BV1LAJw6mEe5","https://www.bilibili.com/video/BV1LAJw6mEe5/","2026-06-14","2960","13","玉兰饼吃什么vlog","3546818132576366","1369","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","只卖4款小吃，全网博主都漏掉的无锡老居民社区15年小吃老店，还是小时候味道|无锡探店|无锡美食|锅贴|酸辣汤|明将锅贴|无锡美食探店|惠山古镇|南长街|崇安寺","BV1g5Et6GEgc","https://www.bilibili.com/video/BV1g5Et6GEgc/","2026-06-07","5805","81","吃吃花头劲","360679770","10719","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","大博主推荐的无锡景区老菜馆，真实评测，味道怎么样？！｜无锡美食｜无锡探店｜二泉园老菜馆｜无锡本帮菜｜惠山古镇｜寄畅园","BV1trVu6VEyg","https://www.bilibili.com/video/BV1trVu6VEyg/","2026-05-30","5153","9","Local老王","3546984065534514","341","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","没想到吧，无锡的烤鸭是这么吃的，揭秘局","BV153L164Eyo","https://www.bilibili.com/video/BV153L164Eyo/","2026-05-20","6539","56","二少爷的拍拍拍","1604051466","3366","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","都2026年了，在无锡140元还能吃这么一大桌本帮菜？量大口味也实惠！","BV1iJLM6xEC5","https://www.bilibili.com/video/BV1iJLM6xEC5/","2026-05-19","12488","31","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","想吃地道的无锡本帮面？这家老面馆您来试试，拌面配几个浇头就是那个味儿！","BV1Ty5L6bEcs","https://www.bilibili.com/video/BV1Ty5L6bEcs/","2026-05-11","19883","62","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","这家老底子蒸菜馆可以说是无锡顶流","BV18odgBnEpN","https://www.bilibili.com/video/BV18odgBnEpN/","2026-05-08","15583","82","二少爷的拍拍拍","1604051466","3366","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","在无锡，66元就可以吃到和牛寿喜锅自助？包含锅底，超高性价比","BV1WHzxBrEnE","https://www.bilibili.com/video/BV1WHzxBrEnE/","2026-04-23","17314","49","舍梵","8529170","4900","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","一口气吃遍无锡3家百年老字号！小笼、馄饨、梅花糕全安排！本地人排队都要吃的味道","BV1xBdCBrE1h","https://www.bilibili.com/video/BV1xBdCBrE1h/","2026-04-21","18174","38","海上心声","1046184630","20468","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","勇哥来无锡高低要安排一顿，这家老蒸菜馆口味地道，几个菜一碗面相当惬意！","BV1c1QvBcETv","https://www.bilibili.com/video/BV1c1QvBcETv/","2026-04-14","6185","17","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡菜市场美食地图！盛岸VS稻香，谁更值得冲？","BV1tdQ4BnEEJ","https://www.bilibili.com/video/BV1tdQ4BnEEJ/","2026-04-13","78678","150","马克干饭日志","1936128271","89576","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡必吃非遗玉兰饼10家老字号路线","BV1MnD1BNEFp","https://www.bilibili.com/video/BV1MnD1BNEFp/","2026-04-11","172","0","90天环游世界","413782972","11","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡这家老字号本帮面饭馆，人气依然那么火爆，今天这么多浇头吃拌面太痛快啦！","BV1phQMBREXQ","https://www.bilibili.com/video/BV1phQMBREXQ/","2026-04-11","10986","19","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","谁说无锡菜只有甜？这家地道老店本地人扎堆！","BV19M9uBjEg7","https://www.bilibili.com/video/BV19M9uBjEg7/","2026-04-05","52097","150","马克干饭日志","1936128271","89576","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡这家台湾小馆，争议竟然这么大？","BV1f397BjE1f","https://www.bilibili.com/video/BV1f397BjE1f/","2026-04-01","53620","241","爱学习的好王野","11263788","96805","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","吃遍全国之无锡！吃面真加糖？无锡美食太太好吃啦！","BV1mX9jB8EQT","https://www.bilibili.com/video/BV1mX9jB8EQT/","2026-04-01","16445","109","陈栋梁Jacko","354314910","37255","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","在无锡48小时极限打卡18家店30多种美食~","BV12HXABJEuM","https://www.bilibili.com/video/BV12HXABJEuM/","2026-03-27","3709","8","哦一西cc","26453110","166","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","花140在无锡爽吃美式烤肉！三种肉类还挺好，其他餐品有槽点","BV1GgXNBiESt","https://www.bilibili.com/video/BV1GgXNBiESt/","2026-03-27","1734124","2693","橙飞一下","8263502","2482566","2026-07-21","通过：≥10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","在无锡挖到宝藏夜宵小店！超绝大油边香拽了","BV1EcQdBDECB","https://www.bilibili.com/video/BV1EcQdBDECB/","2026-03-26","18097","89","敢敢LETSGO","1965233","64302","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","没招牌、没价格！无锡超难找的小饭店，生意为何这么火爆？","BV1miXpBrE9e","https://www.bilibili.com/video/BV1miXpBrE9e/","2026-03-26","55237","90","爱学习的好王野","11263788","96805","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","中国“最甜的城市” 果然名不虚传！！3天吃遍29家特色美食，还看到了无锡春日限定的樱花橘子海红嘴鸥！在无锡生活也太幸福了吧！","BV1A4QSB6EcW","https://www.bilibili.com/video/BV1A4QSB6EcW/","2026-03-25","62845","213","宥宥不会喝酒","441585684","35022","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","第一次来无锡吃什么？看这条视频就够了！","BV1Y2w4zXE7R","https://www.bilibili.com/video/BV1Y2w4zXE7R/","2026-03-14","1460","10","碳水cp","3546847815665831","1119","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡开了三十几年的小吃店","BV1CnNuztEWb","https://www.bilibili.com/video/BV1CnNuztEWb/","2026-03-11","15627","73","光光吃光光","92369392","14344","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡！！PUNCH HOUSE！美式·烤肉！","BV1DScXzXEHM","https://www.bilibili.com/video/BV1DScXzXEHM/","2026-03-10","4651","26","奇獠melody","278028401","1751","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","在无锡你吹什么牛都可以。但千万别说吃过这家店！！","BV1BKcPzZEg2","https://www.bilibili.com/video/BV1BKcPzZEg2/","2026-02-09","7041","25","哈来腔女士","1996921331","1770","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","十五元可以吃撑，无锡最有烟火气的社区食堂","BV16BrHBwEpp","https://www.bilibili.com/video/BV16BrHBwEpp/","2026-01-14","7708","36","二少爷的拍拍拍","1604051466","3366","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡小笼 宣判封顶","BV1oP6mB4EuX","https://www.bilibili.com/video/BV1oP6mB4EuX/","2026-01-10","1558343","679","达哥在上海","504799975","1048543","2026-07-21","通过：≥10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","如果你来无锡   我肯定不会带你去收费景点    无锡太多免费美丽公园了  还有一家深藏在运河艺术公园名叫包子馆人均一百多的真实力派老店 高档场所大众消费","BV1nhiCBmE4m","https://www.bilibili.com/video/BV1nhiCBmE4m/","2026-01-08","6205","25","哈来腔女士","1996921331","1770","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡老饕私藏的烧鸟食堂❗️品质性价比超高","BV1LfqZBUEcg","https://www.bilibili.com/video/BV1LfqZBUEcg/","2025-12-19","4443","36","社恐小潘潘","321248648","2533","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","来无锡探一个十大苍蝇馆子之一","BV1YRmKBdEqg","https://www.bilibili.com/video/BV1YRmKBdEqg/","2025-12-11","10327","34","DK程大鑫","2055557955","1819","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡堰桥不起眼的小馆子，几个菜做得相当好吃，食材新鲜吃出家的味道！","BV1oyUHBkEwn","https://www.bilibili.com/video/BV1oyUHBkEwn/","2025-11-22","13229","15","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡白糖拌面，超级好吃！！","BV1KbygBJELh","https://www.bilibili.com/video/BV1KbygBJELh/","2025-11-18","101138","187","大胖和软软","7956629","1207188","2026-07-21","通过：≥10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡菜真的只是甜吗？","BV1FAkCB8EHt","https://www.bilibili.com/video/BV1FAkCB8EHt/","2025-11-12","75499","372","老谢的饭局","1268419409","96168","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡最好吃的生煎馒头，就是很小的","BV1FAyYBiEnP","https://www.bilibili.com/video/BV1FAyYBiEnP/","2025-10-30","19295","129","二少爷的拍拍拍","1604051466","3366","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","本想着水蜜桃能翻身做主 可惜了 去无锡找吃点梁溪脆鳝压压惊吧","BV1qMxPz9E7E","https://www.bilibili.com/video/BV1qMxPz9E7E/","2025-10-26","8134","29","食卿客","3546558861674904","2791","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","有多少人吃过传统的无锡脆鳝？","BV1rjWpzVEvx","https://www.bilibili.com/video/BV1rjWpzVEvx/","2025-10-18","77468","114","厨者王波","3546728118618546","109092","2026-07-21","通过：≥10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡老字号 有些美食还是老的好！","BV11C4zz6E8e","https://www.bilibili.com/video/BV11C4zz6E8e/","2025-10-16","52302","176","厨者王波","3546728118618546","109092","2026-07-21","通过：≥10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡沁园菜场这家包子铺，我年轻时是它的常客，菜包油润可口满嘴留香！","BV1p84BzhEVu","https://www.bilibili.com/video/BV1p84BzhEVu/","2025-10-16","10684","26","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","山不在高有仙则灵！无锡老锡海宾馆的大厨开家小面馆，这不拖拖的降维打击嘛！","BV1tT4nzpESr","https://www.bilibili.com/video/BV1tT4nzpESr/","2025-10-10","10883","53","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡东亭人气本帮菜，道道都是老法头味道，这一桌您猜多少钱？","BV1Qsx7zJEvG","https://www.bilibili.com/video/BV1Qsx7zJEvG/","2025-10-06","10614","25","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","6元的菜饭，4元的拌面，无锡这家店算便宜吗？","BV13sHVzFE9f","https://www.bilibili.com/video/BV13sHVzFE9f/","2025-10-03","150763","184","爱学习的好王野","11263788","96805","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡阳山20年老面馆，免费的小菜品种多口味好，老阿姨直言吃了她家面就不想吃别家了！","BV1PHHAzHE4F","https://www.bilibili.com/video/BV1PHHAzHE4F/","2025-10-02","13953","13","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
"无锡市","2026-07-21","无锡雪浪的宝藏大排档，4个菜只要一百出些头，都是地道的本帮口味！","BV168nMz4Est","https://www.bilibili.com/video/BV168nMz4Est/","2025-09-26","8924","27","秦大浪vlog","1238201958","20145","2026-07-21","不通过：低于10万","B站内置浏览器：无锡 美食 探店／无锡 小吃"
